School,Phase 1,2A,2B,2C,2C(S),3
↳ Taken,99,16,3,89,33,-
Haig Girls’,,,,,,
↳ Vacancy (190),130,79,38,97,0,-
↳ Applied,51,24,18,108,-,-
↳ Taken,51,24,18,97,-,-
,,,,,,
,,,,PR<1,,
Henry Park,,,,,,
↳ Vacancy (300),240,109,20,44,0,-
↳ Applied,131,109,23,64,-,-
↳ Taken,131,109,20,44,-,-
,,,,,,
,,,SC<1,SC<1,,
Holy Innocents’,,,,,,
↳ Vacancy (270),210,103,20,40,0,-
↳ Applied,107,115,53,115,-,-
↳ Taken,107,103,20,40,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Hong Wen,,,,,,
↳ Vacancy (210),150,69,32,69,0,-
↳ Applied,82,34,30,151,-,-
↳ Taken,82,34,30,69,-,-
,,,,,,
,,,,SC<1,,
Horizon,,,,,,
↳ Vacancy (240),180,77,20,44,0,-
↳ Applied,103,105,16,81,-,-
↳ Taken,103,77,16,44,-,-
,,,,,,
,,SC<1,,SC<1,,
Hougang,,,,,,
↳ Vacancy (190),130,54,31,76,0,-
↳ Applied,76,22,17,98,-,-
↳ Taken,76,22,17,76,-,-
,,,,,,
,,,,SC<1,,
Huamin,,,,,,
↳ Vacancy (240),180,79,20,61,0,-
↳ Applied,101,90,1,95,-,-
↳ Taken,101,79,1,61,-,-
,,,,,,
,,SC1-2,,SC<1,,
Innova,,,,,,
↳ Vacancy (180),120,56,36,96,38,34
↳ Applied,64,9,11,58,4,-
↳ Taken,64,9,11,58,4,-
Jiemin,,,,,,
↳ Vacancy (220),160,92,44,134,77,23
↳ Applied,68,19,0,57,54,-
↳ Taken,68,19,0,57,54,-
Jing Shan,,,,,,
↳ Vacancy (150),90,39,20,61,0,-
↳ Applied,51,51,1,62,-,-
↳ Taken,51,39,1,61,-,-
,,,,,,
,,SC1-2,,PR<1#,,
Junyuan,,,,,,
↳ Vacancy (240),180,97,27,81,23,0
↳ Applied,83,76,0,58,74,-
↳ Taken,83,76,0,58,23,-
,,,,,,
,,,,,SC<1,
Jurong,,,,,,
↳ Vacancy (220),160,101,41,125,52,0
↳ Applied,59,37,0,73,72,-
↳ Taken,59,37,0,73,52,-
,,,,,,
,,,,,SC1-2,
Jurong West,,,,,,
↳ Vacancy (180),120,63,20,60,0,-
↳ Applied,57,65,1,63,-,-
↳ Taken,57,63,1,60,-,-
,,,,,,
,,PR<1,,PR<1,,
Keming,,,,,,
↳ Vacancy (240),180,80,30,82,0,-
↳ Applied,100,51,8,138,-,-
↳ Taken,100,51,8,82,-,-
,,,,,,
,,,,SC<1,,
Kheng Cheng,,,,,,
