School,Phase 1,2A,2B,2C
Tao Nan,0.61,1.1794871794871795,3.4,2.317073170731707
Teck Ghee,0.6333333333333333,0.36363636363636365,0.1724137931034483,0.7619047619047619
Teck Whye,0.29333333333333333,0.19811320754716982,0.041666666666666664,0.13286713286713286
Telok Kurau,0.39444444444444443,0.30275229357798167,0.0,0.4057971014492754
Temasek,0.6,1.0535714285714286,0.6,2.4166666666666665
Townsville,0.3333333333333333,0.2786885245901639,0.02857142857142857,0.25961538461538464
Unity,0.5777777777777777,0.2631578947368421,0.0,0.5
Valour,0.5136363636363637,0.7663551401869159,0.03571428571428571,1.2142857142857142
Waterway,0.45454545454545453,0.5083333333333333,0.025,0.6416666666666667
Wellington,0.6,1.1805555555555556,0.3,1.9636363636363636
West Grove,0.5133333333333333,0.0958904109589041,0.023809523809523808,0.35714285714285715
West Spring,0.5222222222222223,0.7931034482758621,0.07692307692307693,1.0759493670886076
West View,0.5,0.5111111111111111,0.037037037037037035,0.5
Westwood,0.5,0.9111111111111111,0.43478260869565216,1.3898305084745763
White Sands,0.65,0.5476190476190477,0.11538461538461539,1.1025641025641026
Woodgrove,0.49166666666666664,0.16393442622950818,0.21621621621621623,0.9611650485436893
Woodlands,0.46,0.4074074074074074,0.2222222222222222,0.8529411764705882
Woodlands Ring,0.5666666666666667,0.3076923076923077,0.0,0.5047619047619047
Xinghua,0.15555555555555556,0.06578947368421052,0.0,0.16748768472906403
Xingnan,0.32666666666666666,0.1782178217821782,0.0,0.3006993006993007
Xinmin,0.46,0.6666666666666666,0.896551724137931,1.6129032258064515
Xishan,0.45625,0.3333333333333333,0.05128205128205128,0.3706896551724138
Yangzheng,0.66,1.1176470588235294,0.7,1.6041666666666667
Yew Tee,0.44166666666666665,0.08955223880597014,0.075,0.3813559322033898
Yio Chu Kang,0.38333333333333336,0.14864864864864866,0.0,0.1951219512195122
Yishun,0.3375,0.22641509433962265,0.02127659574468085,0.3829787234042553
Yu Neng,0.575,0.8627450980392157,0.5454545454545454,1.4642857142857142
Yuhua,0.31666666666666665,0.18699186991869918,0.018867924528301886,0.14375
Yumin,0.29375,0.10619469026548672,0.0,0.08695652173913043
Zhangde,0.525,0.38596491228070173,0.0,0.9263157894736842
Zhenghua,0.52,0.7638888888888888,0.07692307692307693,0.5789473684210527
Zhonghua,0.35,0.10256410256410256,0.0,0.11578947368421053
